Dog Senior Lifetime Neutered Male,.,MULTI,TUCKER,15237,2018,1/28/13 10:44
Dog Lifetime Neutered Male,.,BROWN,BASHFUL,15147,2018,9/10/15 11:12
Dog Individual Female,.,WHITE,PHOEBE,15202,2018,7/31/17 14:58
Dog Senior Lifetime Spayed Female,.,BLACK/BROWN,QUEEN TINY THE BANDIT,15102,2018,9/14/17 15:57
Dog Individual Neutered Male,.,BROWN,CHARLEY,15025,2018,11/27/17 9:57
Dog Senior Citizen or Disability Neutered Male,.,BLACK/BROWN,TACODA,15238,2018,11/27/17 10:03
Dog Senior Citizen or Disability Male,.,BRINDLE,EICH,15238,2018,11/27/17 10:03
Dog Individual Neutered Male,.,BLACK/BROWN,ARROW,15104,2018,11/27/17 10:04
Dog Individual Neutered Male,.,WHITE/BROWN,OAKLEY,15139,2018,11/27/17 10:06
Dog Individual Neutered Male,.,BLACK,BAILEY,15129,2018,11/27/17 10:09
Dog Individual Spayed Female,.,BLACK/TAN,MIMI PEARL FOSTER,15090,2018,11/27/17 10:12
Dog Individual Neutered Male,AFFENPINSCHER,WHITE/BROWN,LEROI,15238,2018,11/27/17 10:16
Dog Individual Spayed Female,AFFENPINSCHER,WHITE/BROWN,ZOE VITSAS,15238,2018,11/27/17 10:17
Dog Individual Spayed Female,AFFENPINSCHER,YELLOW,TAFFY,15228,2018,11/27/17 15:37
Dog Individual Spayed Female,AFFENPINSCHER,WHITE/BROWN,WINNIE,15139,2018,
Dog Individual Neutered Male,AFGHAN HOUND,WHITE,DUDE,15238,2018,11/27/17 10:29
Dog Individual Spayed Female,AIREDALE TERRIER,WHITE/BROWN,CHICKIE,15238,2018,11/27/17 10:29
Dog Senior Citizen or Disability Neutered Male,AIREDALE TERRIER,BLONDE,BUSTER,15108,2018,
Dog Individual Spayed Female,AIREDALE TERRIER,WHITE,EMILY,15108,2018,
Dog Individual Neutered Male,AIREDALE TERRIER,BROWN,KING,15235,2018,11/27/17 10:32
Dog Individual Spayed Female,AIREDALE TERRIER,WHITE,EMILY,15108,2018,11/27/17 11:46
Dog Individual Spayed Female,AIREDALE TERRIER,WHITE/BROWN,ELLIE,15228,2018,11/27/17 15:37
Dog Individual Male,AIREDALE TERRIER,WHITE,RUSTY,15120,2018,11/27/17 15:37
Dog Individual Spayed Female,AIREDALE TERRIER,SPOTTED,ANNIE,15239,2018,11/27/17 15:37
Dog Individual Spayed Female,AIREDALE TERRIER,BLONDE,JUILET,15214,2018,11/27/17 10:42
Dog Individual Neutered Male,AIREDALE TERRIER,BLACK,ROMEO,15214,2018,11/27/17 10:42
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,WHITE,LOLA,15235,2018,11/27/17 11:46
Dog Individual Neutered Male,AIREDALE TERRIER,BLACK,ABE,15218,2018,11/27/17 15:37
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,WHITE,LOLA,15235,2018,11/27/17 11:46
Dog Individual Spayed Female,AIREDALE TERRIER,WHITE,MAGGIE,15237,2018,11/27/17 15:37
Dog Senior Citizen or Disability Male,AIREDALE TERRIER,WHITE/BLACK/BROWN,BUDDY,15018,2018,11/27/17 15:37
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,BLACK/BROWN,PRINCESS,15025,2018,11/27/17 15:37
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,BROWN,"CHRISTINA ""TINA""",15025,2018,11/27/17 15:37
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,WHITE,LOLA,15235,2018,
Dog Individual Spayed Female,AIREDALE TERRIER,BLACK/BROWN,SABLE,15131,2018,
Dog Individual Neutered Male,AIREDALE TERRIER,BLACK,HOWIE,15239,2018,11/27/17 16:09
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,WHITE,LOLA,15235,2018,
Dog Individual Spayed Female,AIREDALE TERRIER,BLACK,HAPPY,15017,2018,11/27/17 11:05
Dog Individual Neutered Male,AIREDALE TERRIER,WHITE/BLACK/BROWN,GRIFF,15015,2018,
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,WHITE/TAN,LILLY,15137,2018,11/27/17 11:07
Dog Individual Spayed Female,AIREDALE TERRIER,WHITE/BLACK,SHADOE,15045,2018,11/27/17 11:08
Dog Individual Spayed Female,AIREDALE TERRIER,BLACK/BROWN,SABLE,15131,2018,11/27/17 16:03
Dog Individual Male,AIREDALE TERRIER,BLACK,NAHBI,15136,2018,11/27/17 15:27
Dog Individual Spayed Female,AIREDALE TERRIER,BLACK/BROWN,VALKYRIE,15205,2018,11/27/17 11:46
Dog Individual Neutered Male,AIREDALE TERRIER,BLACK,DOGGIE,15122,2018,11/27/17 15:37
Dog Individual Spayed Female,AIREDALE TERRIER,MULTI,ELLIE,15234,2018,11/27/17 15:27
Dog Individual Neutered Male,AIREDALE TERRIER,BLACK/TAN,CURIOUS GEORGE,15057,2018,11/27/17 15:37
Dog Individual Neutered Male,AIREDALE TERRIER,WHITE,WILLIE,15025,2018,11/27/17 11:22
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,BROWN,ROXY,15147,2018,
Dog Individual Spayed Female,AIREDALE TERRIER,WHITE,SNOWBALL,15025,2018,11/27/17 11:22
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,BROWN,HONEY PUCK,15241,2018,11/27/17 15:37
Dog Individual Male,AIREDALE TERRIER,WHITE/BLACK,BOJANGLES,15135,2018,
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,BROWN,ROXY,15147,2018,11/29/17 9:47
Dog Individual Neutered Male,AIREDALE TERRIER,WHITE/BLACK/BROWN,BUMBLE,15136,2018,11/27/17 11:25
Dog Individual Male,AIREDALE TERRIER,WHITE/BLACK,BOJANGLES,15135,2018,11/29/17 9:47
Dog Individual Spayed Female,AIREDALE TERRIER,BROWN,STELLA,15044,2018,11/29/17 9:47
Dog Individual Neutered Male,AIREDALE TERRIER,SPOTTED,NORMAN MITCHELL,15101,2018,11/29/17 9:47
Dog Individual Spayed Female,AKITA,WHITE/BROWN,WINNIE,15139,2018,11/27/17 16:03
Dog Senior Citizen or Disability Spayed Female,AKITA,BLACK/BRINDLE,MOLLY MAGEE,15126,2018,11/27/17 16:03
Dog Senior Citizen or Disability Spayed Female,AKITA,WHITE,LOLA,15235,2018,11/27/17 11:45
